Player,Ratings,Salaries,Pos,Age,Tm,G,GS,MP,FG,FGA,FGp,3P,3PA,threePp,2P,2PA,twoPp,eFG%,FT,FTA,FTp,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
LeBron James,97,"$37,436,858",PG,35,LAL,60,60,34.9,9.8,19.6,.498,2.2,6.4,.349,7.6,13.3,.570,.555,4.0,5.7,.697,1.0,6.9,7.9,10.6,1.2,0.5,4.0,1.8,25.7
Kawhi Leonard,97,"$32,742,000",SF,28,LAC,51,51,32.2,9.3,19.9,.469,2.1,5.7,.366,7.2,14.2,.510,.521,6.1,6.9,.889,1.0,6.3,7.3,5.0,1.8,0.6,2.7,1.9,26.9
Giannis Antetokounmpo,96,"$25,842,697",PF,25,MIL,57,57,30.9,10.9,20.0,.547,1.5,4.8,.306,9.5,15.2,.622,.583,6.3,10.0,.633,2.3,11.5,13.7,5.8,1.0,1.0,3.7,3.0,29.6
James Harden,96,"$38,199,000",SG,30,HOU,61,61,36.7,9.9,22.7,.435,4.4,12.6,.352,5.4,10.1,.538,.533,10.1,11.8,.861,1.0,5.3,6.4,7.4,1.7,0.9,4.5,3.4,34.4
Stephen Curry,95,"$40,231,758",PG,31,GSW,5,5,27.8,6.6,16.4,.402,2.4,9.8,.245,4.2,6.6,.636,.476,5.2,5.2,1.000,0.8,4.4,5.2,6.6,1.0,0.4,3.2,2.2,20.8
Anthony Davis,94,"$27,093,019",PF,26,LAL,55,55,34.3,9.2,18.1,.511,1.2,3.5,.335,8.1,14.5,.554,.544,7.0,8.3,.845,2.3,7.1,9.4,3.1,1.5,2.4,2.5,2.5,26.7
Paul George,93,"$33,005,556",SF,29,LAC,42,42,29.1,6.9,16.0,.432,3.2,7.9,.399,3.8,8.1,.463,.530,3.9,4.5,.882,0.5,5.2,5.7,3.9,1.3,0.5,2.7,2.4,21.0
Damian Lillard,92,"$29,802,321",PG,29,POR,58,58,36.9,9.2,20.0,.457,3.9,9.9,.394,5.3,10.2,.518,.554,6.7,7.6,.888,0.5,3.8,4.3,7.8,1.0,0.4,2.9,1.7,28.9
Joel Embiid,91,"$27,504,630",C,25,PHI,44,44,30.2,7.5,15.9,.474,1.3,3.7,.348,6.3,12.3,.511,.514,7.1,8.7,.814,2.8,9.0,11.8,3.1,0.9,1.3,3.1,3.4,23.4
Kyrie Irving,91,"$31,742,000",PG,27,BRK,20,20,32.9,10.0,20.8,.478,2.8,7.1,.394,7.2,13.7,.522,.546,4.7,5.1,.922,1.1,4.1,5.2,6.4,1.4,0.5,2.6,2.7,27.4
